Genre,Name,Platform,Publisher,Rating,Year of Release,Critic Count,Critic Score,EU Sales,Global Sales,JP Sales,JP Sales Text,NA Sales,Other Sales,User Count,User Score
Racing,Sega Touring Car Championship,SAT,Sega,,1996,,,0,0.11,0.11,$0 Million,0,0,,
Misc,Zubo,DS,Electronic Arts,E10+,2008,19,75,0.02,0.11,0,$0 Million,0.08,0.01,75,7.6
Action,[Prototype 2],PC,Activision,M,2012,12,76,0.03,0.11,0,$0 Million,0.08,0.01,395,6.4
Action,Cold Fear,PS2,Ubisoft,M,2005,39,68,0.04,0.11,0,$0 Million,0.06,0.01,27,7.7
Action,Grand Theft Auto: San Andreas,X360,Take-Two Interactive,M,2008,,,0.02,0.11,0,$0 Million,0.08,0.01,47,7.4
Action,Zangeki no Reginleiv,Wii,Nintendo,,2010,,,0,0.11,0.11,$0 Million,0,0,,
Action,Transformer: Rise of the Dark Spark,PS3,Activision,,2014,,,0.04,0.11,0.01,$0 Million,0.04,0.02,,
Misc,Daito Giken Koushiki Pachi-Slot Simulator: Hihouden,PS2,Daito,,2006,,,0,0.11,0.11,$0 Million,0,0,,
Misc,My SAT Coach with The Princeton Review,DS,Ubisoft,,2008,,,0,0.11,0,$0 Million,0.1,0.01,,
Sports,NBA Live 16,XOne,Electronic Arts,E,2015,17,60,0.01,0.11,0,$0 Million,0.09,0.01,63,5.6
Sports,NHL Hitz 20-03,X,Midway Games,E,2002,19,81,0.02,0.11,0,$0 Million,0.08,0,13,8.5
Shooter,Murakumo: Renegade Mech Pursuit,X,From Software,T,2002,18,48,0.01,0.11,0.06,$0 Million,0.04,0,4,7.5
Adventure,The Hardy Boys: Treasure on the Tracks,DS,Sega,E,2009,9,65,0,0.11,0,$0 Million,0.1,0.01,,
Sports,MLB 14: The Show,PSV,Sony Computer Entertainment America,E,2014,6,68,0,0.11,0,$0 Million,0.08,0.03,25,7
Shooter,Gun Metal,X,Rage Software,T,2002,17,63,0.02,0.11,0,$0 Million,0.08,0,8,7.6
Action,Cory in the House,DS,Disney Interactive Studios,E,2007,,,0,0.11,0,$0 Million,0.1,0.01,1304,9.5
Simulation,Funky Barn,3DS,Ubisoft,,2012,,,0.03,0.11,0,$0 Million,0.07,0.01,,
Fighting,BlazBlue: Calamity Trigger Portable,PSP,PQube,T,2010,14,82,0.01,0.11,0.03,$0 Million,0.07,0.01,18,7.8
Sports,Pro Yaky? Spirits 5,PS3,Konami Digital Entertainment,,2008,,,0,0.11,0.11,$0 Million,0,0,,
Shooter,BloodRayne,GC,Universal Interactive,M,2002,17,73,0.02,0.11,0,$0 Million,0.09,0,4,8.5
Fighting,ECW Anarchy Rulz,PS,Acclaim Entertainment,E,1999,7,43,0.04,0.11,0,$0 Million,0.06,0.01,4,6.3
Shooter,Metal Slug 4 & 5,PS2,SNK Playmore,,2005,,,0.04,0.11,0,$0 Million,0.05,0.01,,
Fighting,InuYasha: A Feudal Fairy Tale,PS,Namco Bandai Games,T,2002,5,69,0,0.11,0.1,$0 Million,0,0.01,74,9
Action,TMNT,PSP,Ubisoft,E10+,2007,7,37,0,0.11,0,$0 Million,0.1,0.01,13,3.8
Platform,Where the Wild Things Are,X360,Warner Bros. Interactive Entertainment,E10+,2009,10,51,0,0.11,0,$0 Million,0.1,0.01,5,5.4
Shooter,Zombie Army Trilogy,XOne,Rebellion Developments,,2015,10,62,0.05,0.11,0,$0 Million,0.05,0.01,40,7.2
Sports,J-League Winning Eleven 9: Asia Championship,PS2,Konami Digital Entertainment,,2005,,,0,0.11,0.11,$0 Million,0,0,,
Shooter,Dementium II,DS,SouthPeak Games,M,2010,25,75,0.01,0.11,0,$0 Million,0.09,0.01,31,8.3
Action,Sabrina The Teenage Witch: Potion Commotion,GBA,Ubisoft,E,2002,5,63,0.03,0.11,0,$0 Million,0.08,0,6,2.8
Action,Happy Feet Two,3DS,Warner Bros. Interactive Entertainment,,2011,,,0.02,0.11,0,$0 Million,0.08,0.01,,
Misc,Pac-Man Pinball Advance,GBA,Zoo Digital Publishing,E,2005,6,52,0.03,0.11,0,$0 Million,0.08,0,,
Simulation,Pocket Pets,DS,O3 Entertainment,E,2007,,,0,0.11,0,$0 Million,0.1,0.01,,
Strategy,Yu Yu Hakusho: Tournament Tactics,GBA,Atari,E,2004,,,0.03,0.11,0,$0 Million,0.08,0,8,6.8
Sports,Home Run King,GC,Sega,E,2002,18,66,0.02,0.11,0,$0 Million,0.09,0,,
Adventure,To Heart 2: Dungeon Travelers,PSP,Aqua Plus,,2011,,,0,0.11,0.11,$0 Million,0,0,,
Fighting,WWE All Stars,PS2,THQ,T,2011,,,0.04,0.11,0,$0 Million,0.05,0.01,6,3.8
Sports,MLB Power Pros,PS2,Konami Digital Entertainment,E,2007,10,80,0,0.11,0.11,$0 Million,0,0,11,8.8
Misc,Virtua Fighter CG Portrait Series Vol.1: Sarah Bryant,SAT,Sega,,1995,,,0,0.11,0.11,$0 Million,0,0,,
Shooter,GoldenEye: Rogue Agent,DS,Electronic Arts,T,2005,25,58,0,0.11,0,$0 Million,0.1,0.01,18,7.5
Strategy,Kousoku Card Battle: Card Hero,DS,Nintendo,,2007,,,0,0.11,0.11,$0 Million,0,0,,
Simulation,AirForce Delta Strike,PS2,Konami Digital Entertainment,T,2004,22,66,0.04,0.11,0,$0 Million,0.05,0.01,6,7
Adventure,Escape The Museum,Wii,Majesco Entertainment,E,2009,,,0.01,0.11,0,$0 Million,0.1,0.01,,
Adventure,Tokimeki Memorial: Girls Side 2nd Season,DS,Konami Digital Entertainment,,2008,,,0,0.11,0.11,$0 Million,0,0,,
Platform,Disney's Peter Pan: Return to Never Land,GBA,Ubisoft,,2002,,,0.03,0.11,0,$0 Million,0.08,0,,
Racing,Pimp My Ride,Wii,Activision,T,2008,4,26,0,0.11,0,$0 Million,0.1,0.01,8,3.8
Platform,The Fairly Odd Parents: Breakin Da Rules,X,THQ,,2003,,,0.02,0.11,0,$0 Million,0.08,0,,
Fighting,Capcom vs. SNK 2 EO,GC,Capcom,T,2002,20,68,0.02,0.11,0,$0 Million,0.09,0,27,8.9
Racing,Hot Wheels Velocity X,GC,THQ,E,2002,4,55,0.02,0.11,0,$0 Million,0.09,0,5,6.4
Platform,Open Season,X360,Ubisoft,E10+,2006,15,59,0,0.11,0,$0 Million,0.1,0.01,9,7.3
Platform,de Blob 2,DS,THQ,E,2011,11,75,0.02,0.11,0,$0 Million,0.08,0.01,6,8.2
Role-Playing,Digimon Story: Cyber Sleuth,PS4,Namco Bandai Games,T,2016,45,75,0.1,0.11,0,$0 Million,0,0.02,292,8.5
Role-Playing,Wasteland 2,PC,inXile Entertainment,M,2015,65,81,0.06,0.11,0,$0 Million,0.04,0.01,1173,7.3
Simulation,Lets Play Garden,DS,Deep Silver,E,2010,,,0,0.11,0,$0 Million,0.1,0.01,,
Puzzle,Fabulous Finds,DS,ValuSoft,E,2009,,,0,0.11,0,$0 Million,0.1,0.01,,
Shooter,Contra Advance: The Alien Wars EX,GBA,Konami Digital Entertainment,E,2002,16,70,0.03,0.11,0,$0 Million,0.08,0,,
Adventure,Jake Hunter Detective Story: Memories of the Past,DS,PQube,T,2007,5,72,0,0.11,0.05,$0 Million,0.06,0,,
Sports,NBA 2K16,PC,Take-Two Interactive,E10+,2015,,,0.06,0.11,0,$0 Million,0.04,0.01,66,5.7
Sports,FIFA Soccer 06,PSP,Electronic Arts,E,2005,17,77,0,0.11,0,$0 Million,0.1,0.01,20,7.7
Role-Playing,Dungeon Travelers 2: The Royal Library & The Monster Seal,PSV,Atlus,,2014,,,0.02,0.11,0.05,$0 Million,0.03,0.01,,
Platform,Space Chimps,X360,Brash Entertainment,E10+,2008,7,57,0,0.11,0,$0 Million,0.1,0.01,12,5.3
Simulation,JASF: Janes Advanced Strike Fighters,PS3,Deep Silver,T,2011,7,41,0.03,0.11,0,$0 Million,0.07,0.01,7,3.1
Shooter,The History Channel: Battle for the Pacific,Wii,Activision,T,2007,,,0,0.11,0,$0 Million,0.1,0.01,6,5.3
Strategy,Stronghold,PC,Gathering of Developers,T,2001,19,81,0.09,0.11,0,$0 Million,0,0.02,227,8.9
Strategy,Army Men: RTS,PS2,3DO,T,2002,14,68,0.04,0.11,0,$0 Million,0.05,0.01,,
Adventure,NCIS 3D,3DS,Ubisoft,T,2011,,,0.04,0.11,0,$0 Million,0.06,0.01,,
Misc,Get Up and Dance,Wii,O-Games,T,2011,,,0.04,0.11,0,$0 Million,0.06,0.01,,
Simulation,Mobile Suit Gundam: MS Sensen 0079,Wii,Namco Bandai Games,,2007,,,0,0.11,0.11,$0 Million,0,0,,
Action,The Settlers,DS,Ubisoft,E,2007,6,39,0,0.11,0,$0 Million,0.1,0.01,7,5.6
Platform,Shrek: Forever After,X360,Activision,E10+,2010,22,62,0,0.11,0,$0 Million,0.1,0.01,9,6.2
Platform,Cloudy With a Chance of Meatballs,Wii,Ubisoft,E,2009,4,68,0,0.11,0,$0 Million,0.1,0.01,4,5.3
Misc,Family Game Night 4: The Game Show,PS3,Electronic Arts,E,2011,,,0.02,0.11,0,$0 Million,0.08,0.01,,
Adventure,Shin Kamaitachi no Yoru: 11 Hitome no Suspect,PS3,THQ,,2011,,,0,0.11,0.11,$0 Million,0,0,,
Racing,Ridge Racer Unbounded,X360,Namco Bandai Games,T,2012,59,71,0.05,0.11,0,$0 Million,0.05,0.01,56,7.7
Fighting,Mortal Kombat: Deception,GC,Midway Games,M,2005,14,77,0.02,0.11,0,$0 Million,0.09,0,15,8.9
Sports,ESPN NHL Hockey,X,Sega,E,2003,25,88,0.02,0.11,0,$0 Million,0.08,0,24,8.4
Role-Playing,Monster La,PS2,Eidos Interactive,E10+,2008,,,0.04,0.11,0,$0 Million,0.05,0.01,,
Puzzle,Yard Sale Hidden Treasures: Sunnyville,DS,Konami Digital Entertainment,E10+,2010,,,0,0.11,0,$0 Million,0.1,0.01,,
Action,XXX,GBA,Activision,E,2002,13,50,0.03,0.11,0,$0 Million,0.08,0,4,5
Sports,John Dalys ProStroke Golf,PS3,O-Games,E,2010,23,58,0.01,0.11,0,$0 Million,0.09,0.01,8,4.1
Shooter,Maximum Force,PS,GT Interactive,,1997,,,0.04,0.11,0,$0 Million,0.06,0.01,,
Misc,Truth or Lies,X360,THQ,T,2010,6,28,0.03,0.11,0,$0 Million,0.07,0.01,6,5.2
Strategy,Worms Forts: Under Siege,PS2,Acclaim Entertainment,T,2004,21,63,0.04,0.11,0,$0 Million,0.05,0.01,15,8
Action,Taiko no Tatsujin: Don Don! Mystery Adventure,3DS,Namco Bandai Games,,2016,,,0,0.11,0.11,$0 Million,0,0,,
Misc,Guitar Rock Tour,DS,Gameloft,E10+,2007,8,60,0,0.11,0,$0 Million,0.1,0.01,,
Puzzle,Puzzler World 2,DS,Ubisoft,E,2010,,,0.07,0.11,0,$0 Million,0.02,0.02,,
Role-Playing,Mind Zero,PSV,GungHo,T,2013,13,59,0,0.11,0.04,$0 Million,0.05,0.02,72,6
Action,Project: Snowblind,X,Eidos Interactive,T,2005,44,79,0.02,0.11,0,$0 Million,0.08,0,10,7
Action,Astro Boy: The Video Game,PS2,D3Publisher,E10+,2009,4,56,0.04,0.11,0,$0 Million,0.05,0.01,4,5
Adventure,Gabrielles Ghostly Groove 3D,3DS,Funbox Media,E,2011,9,62,0.02,0.11,0,$0 Million,0.08,0.01,9,7.4
Sports,Surfs Up,PSP,Ubisoft,E10+,2007,,,0.06,0.11,0,$0 Million,0.02,0.03,,
Puzzle,Cake Mania,DS,Majesco Entertainment,E,2007,23,55,0.01,0.11,0,$0 Million,0.09,0.01,7,6.1
Role-Playing,Brave Story: New Traveler (US sales),PSP,Sony Computer Entertainment,,2006,,,0,0.11,0,$0 Million,0.11,0,,
Sports,Disney's Extreme Skate Adventure,X,Activision,E,2003,15,76,0.02,0.11,0,$0 Million,0.08,0,7,8.3
Role-Playing,Tales of Phantasia (PS1 & PSP Versions),PSP,Namco Bandai Games,,2006,,,0,0.11,0.11,$0 Million,0,0,,
Action,The Adventures of Jimmy Neutron Boy Genius: Jet Fusion,GC,THQ,,2003,,,0.02,0.11,0,$0 Million,0.09,0,,
Action,Kouchuu Ouja Mushi King: Super Collection,DS,Sega,,2007,,,0,0.11,0.11,$0 Million,0,0,,
Misc,Nickelodeon Dance,X360,Take-Two Interactive,E,2011,,,0.02,0.11,0,$0 Million,0.08,0.01,,
Action,Pac-Man World 2,GBA,Zoo Digital Publishing,E,2005,,,0.03,0.11,0,$0 Million,0.08,0,5,6
Misc,Odama,GC,Nintendo,E10+,2006,42,62,0.02,0.11,0.02,$0 Million,0.07,0,17,8
Misc,Karaoke Revolution Presents American Idol Encore,X360,Konami Digital Entertainment,E,2008,7,70,0,0.11,0,$0 Million,0.1,0.01,6,7
Shooter,Mobile Light Force 2,PS2,Taito,E,2002,9,59,0.04,0.11,0,$0 Million,0.05,0.01,,
Role-Playing,God Eater 2: Rage Burst,PS4,Namco Bandai Games,T,2015,35,69,0.01,0.11,0.1,$0 Million,0,0,84,7.8
Simulation,Naval Ops: Warship Gunner,PS2,Tecmo Koei,T,2003,17,67,0.04,0.11,0,$0 Million,0.05,0.01,23,8.9
Role-Playing,Soma Bringer,DS,Nintendo,,2008,,,0,0.11,0.11,$0 Million,0,0,,
Simulation,Paws & Claws Pet Vet: Australian Adventures,DS,THQ,,2009,,,0,0.11,0,$0 Million,0.1,0.01,,
Action,Fate/Extella: The Umbral Star,PS4,PQube,T,2016,26,66,0,0.11,0.11,$0 Million,0,0,14,7.7
Adventure,Calling,Wii,Konami Digital Entertainment,T,2009,28,49,0.04,0.11,0,$0 Million,0.06,0.01,16,6.7
Action,Shin Sangoku Musou 6 Special,PSP,Tecmo Koei,,2011,,,0,0.11,0.11,$0 Million,0,0,,
Puzzle,Go! Sudoku (JP sales),PSP,Sony Computer Entertainment,,2005,,,0,0.11,0.11,$0 Million,0,0,,
Action,Rango: The Video Game,DS,Electronic Arts,E,2011,4,55,0.03,0.11,0,$0 Million,0.07,0.01,,
Sports,DualPenSports,3DS,Namco Bandai Games,E10+,2011,11,58,0.05,0.11,0,$0 Million,0.05,0.01,,
Shooter,Bionicle Heroes,GC,Eidos Interactive,E10+,2006,4,51,0.02,0.11,0,$0 Million,0.08,0,5,5.2
Adventure,Eagle Flight,PS4,Ubisoft,E10+,2016,33,72,0.07,0.11,0,$0 Million,0.03,0.02,25,7.7
Shooter,Bodycount,PS3,Codemasters,M,2011,40,50,0.05,0.11,0,$0 Million,0.05,0.02,28,3.5
Action,Samurai Warriors 4,PSV,Tecmo Koei,T,2014,5,76,0,0.11,0.11,$0 Million,0,0,18,8.6
Fighting,The King of Fighters 2000/2001,PS2,Ignition Entertainment,T,2003,31,71,0.04,0.11,0,$0 Million,0.05,0.01,17,8.6
Sports,Snowboard Kids 2,N64,Atlus,,1999,,,0.02,0.11,0,$0 Million,0.09,0,,
Platform,Chameleon Twist,N64,Sunsoft,,1997,,,0.02,0.11,0,$0 Million,0.09,0,,
Racing,Top Gear Rally 2,N64,Kemco,,1999,,,0.02,0.11,0,$0 Million,0.09,0,,
Simulation,Nuclear Strike 64,N64,THQ,,1999,,,0.02,0.11,0,$0 Million,0.09,0,,
Platform,Tonic Trouble,N64,Ubisoft,,1999,,,0.02,0.11,0,$0 Million,0.09,0,,
Racing,Vigilante 8: 2nd Offense,N64,Activision,,2000,,,0.02,0.11,0,$0 Million,0.09,0,,
Action,Batman & Robin,PS,Acclaim Entertainment,,1998,,,0.04,0.11,0,$0 Million,0.06,0.01,,
Adventure,Lunacy,SAT,Sega,,1996,,,0,0.11,0.11,$0 Million,0,0,,
Action,Fighting Force 64,N64,Crave Entertainment,,1999,,,0.02,0.11,0,$0 Million,0.09,0,,
Action,Chopper Attack,N64,GT Interactive,,1997,,,0.02,0.11,0,$0 Million,0.09,0,,
Role-Playing,Makai Shin Trillion,PSV,Idea Factory,,2014,,,0.01,0.11,0.06,$0 Million,0.03,0.01,,
Action,Teenage Mutant Ninja Turtles: Mutants in Manhattan,PS4,Activision,T,2016,49,44,0.02,0.11,0,$0 Million,0.07,0.02,165,5.4
Misc,Grease,DS,505 Games,E10+,2010,,,0,0.11,0,$0 Million,0.1,0.01,,
Fighting,The King of Fighters Collection: The Orochi Saga,Wii,Ignition Entertainment,T,2008,15,70,0,0.11,0,$0 Million,0.1,0.01,,
Sports,Winter Stars,Wii,Deep Silver,E,2011,,,0.05,0.11,0,$0 Million,0.05,0.01,,
Action,The Spiderwick Chronicles,X360,Vivendi Games,E10+,2008,40,59,0.01,0.11,0,$0 Million,0.09,0.01,,
Fighting,Street Fighter Collection,SAT,Capcom,,1996,,,0,0.11,0.11,$0 Million,0,0,,
Shooter,Ninja Assault,PS2,Namco Bandai Games,T,2002,17,60,0.04,0.11,0,$0 Million,0.05,0.01,4,5.3
Action,Planet 51,PS3,Sega,E,2009,11,50,0.03,0.11,0,$0 Million,0.07,0.01,,
Misc,Hasbro Family Game Night Fun Pack,Wii,Electronic Arts,E,2011,,,0,0.11,0,$0 Million,0.1,0.01,,
Simulation,GunGriffon Blaze,PS2,Swing! Entertainment,T,2000,16,73,0.04,0.11,0,$0 Million,0.05,0.01,,
Role-Playing,Frontier Gate,PSP,Konami Digital Entertainment,,2011,,,0,0.11,0.11,$0 Million,0,0,,
Shooter,Army Men: Soldiers of Misfortune,DS,Zoo Games,E,2008,4,35,0,0.11,0,$0 Million,0.1,0.01,,
Adventure,Higurashi no Naku Koro ni Matsuri,PS2,Alchemist,,2007,,,0,0.11,0.11,$0 Million,0,0,,
Sports,Top Angler: Real Bass Fishing,PS2,Xicat Interactive,,2002,,,0.04,0.11,0,$0 Million,0.05,0.01,,
Action,Eragon,PSP,Vivendi Games,T,2006,15,59,0,0.11,0,$0 Million,0.1,0.01,,
Puzzle,Breakout,PS,Hasbro Interactive,E,1999,,,0.04,0.11,0,$0 Million,0.06,0.01,,
Action,AKB48+Me,3DS,Unknown,,2012,,,0,0.11,0.11,$0 Million,0,0,,
Action,Alias,PS2,Acclaim Entertainment,T,2004,31,64,0.04,0.11,0,$0 Million,0.05,0.01,10,8
Misc,Sakura Taisen Hanagumi Tsuushin,SAT,Sega,,1997,,,0,0.11,0.11,$0 Million,0,0,,
Action,Green Lantern: Rise of the Manhunters,DS,Warner Bros. Interactive Entertainment,E10+,2011,,,0.03,0.11,0,$0 Million,0.07,0.01,,
Adventure,Famicom Mini: Famicom Tantei Club - Kieta Koukeisha Zenkouhen,GBA,Nintendo,,2004,,,0,0.11,0.11,$0 Million,0,0,,
Action,Invizimals: The Lost Tribes,PSP,Sony Computer Entertainment,,2011,,,0.08,0.11,0,$0 Million,0,0.03,,
Action,Night at the Museum: Battle of the Smithsonian,X360,Majesco Entertainment,E10+,2009,15,50,0.03,0.11,0,$0 Million,0.07,0.01,8,7.1
Misc,Pinball Hall of Fame: The Williams Collection,PSP,System 3 Arcade Software,E10+,2008,4,78,0.01,0.11,0,$0 Million,0.09,0.01,,
Action,Spyborgs,Wii,Capcom,T,2009,30,66,0.01,0.11,0,$0 Million,0.09,0.01,6,6.3
Adventure,The Walking Dead: Season Two,PSV,Telltale Games,,2014,,,0,0.11,0.01,$0 Million,0.07,0.03,,
Shooter,Bodycount,X360,Codemasters,M,2011,61,53,0.03,0.11,0,$0 Million,0.07,0.01,73,4.7
Sports,Outlaw Golf: Nine Holes of Christmas,X,Simon & Schuster Interactive,,2002,,,0.02,0.11,0,$0 Million,0.08,0,,
Sports,NHL Rivals 2004,X,Microsoft Game Studios,E,2003,39,65,0.02,0.11,0,$0 Million,0.08,0,20,8.8
Fighting,X-Men: Next Dimension,X,Activision,T,2002,12,56,0.02,0.11,0,$0 Million,0.08,0,,
Racing,Felony 11-79,PS,ASCII Entertainment,,1997,,,0.04,0.11,0,$0 Million,0.06,0.01,,
Racing,Tyco RC: Assault with a Battery,PS,Syscom,,1999,,,0.04,0.11,0,$0 Million,0.06,0.01,,
Adventure,Avatar: The Last Airbender,PSP,THQ,E10+,2006,9,57,0,0.11,0,$0 Million,0.1,0.01,10,6.3
Adventure,Machinarium,PC,Daedalic,,2009,47,85,0.09,0.11,0,$0 Million,0,0.02,530,8.8
Sports,Classic Road,SNES,Victor Interactive,,1993,,,0,0.11,0.11,$0 Million,0,0,,
Platform,Death Jr.: Root of Evil,Wii,Eidos Interactive,T,2008,14,71,0,0.11,0,$0 Million,0.1,0.01,14,8.1
Adventure,Lost in Blue,DS,Konami Digital Entertainment,E10+,2005,33,69,0.02,0.11,0.02,$0 Million,0.07,0.01,21,7.8
Role-Playing,Panzer Dragoon Saga,SAT,Sega,,1997,,,0,0.11,0.11,$0 Million,0,0,,
Sports,Michael Phelps: Push the Limit,X360,505 Games,E,2011,10,48,0.01,0.11,0,$0 Million,0.09,0.01,6,3.5
Adventure,Nicktoons: Unite!,DS,THQ,,2006,,,0,0.11,0,$0 Million,0.1,0.01,,
Sports,Smash Court Tennis 3,X360,Atari,E,2007,32,55,0.02,0.11,0,$0 Million,0.08,0.01,,
Action,The Scorpion King: Rise of the Akkadian,GC,Universal Interactive,T,2002,7,49,0.02,0.11,0,$0 Million,0.08,0,,
Role-Playing,Shining Ark,PSP,Sega,,2013,,,0,0.11,0.11,$0 Million,0,0,,
Fighting,Transformers: Beast Wars Transmetals,PS,BAM! Entertainment,,2000,,,0.04,0.11,0,$0 Million,0.06,0.01,,
Role-Playing,GiFTPiA,GC,Nintendo,,2003,,,0,0.11,0.11,$0 Million,0,0,,
Action,My Little Sister Cant Be This Cute Portable,PSP,Namco Bandai Games,,2012,,,0,0.11,0.11,$0 Million,0,0,,
Sports,Backyard NFL Football 10,X360,Atari,,2009,,,0,0.11,0,$0 Million,0.1,0.01,,
Adventure,Charlie and the Chocolate Factory,X,Global Star,E,2005,20,39,0.02,0.11,0,$0 Million,0.08,0,8,0.5
Action,Constantine,PS2,SCi,M,2005,29,58,0.04,0.11,0,$0 Million,0.05,0.01,24,7.4
Strategy,Dynasty Tactics 2,PS2,Tecmo Koei,T,2003,18,78,0.04,0.11,0,$0 Million,0.05,0.01,13,9.1
Sports,Real World Golf,PS2,Valcon Games,E,2005,11,73,0.04,0.11,0,$0 Million,0.05,0.01,4,6.3
Fighting,Blazblue: Continuum Shift Extend,PSV,PQube,T,2011,28,83,0.05,0.11,0.02,$0 Million,0.03,0.02,97,7.5
Sports,Winter Heat,SAT,Sega,,1996,,,0,0.11,0.11,$0 Million,0,0,,
Platform,Ty the Tasmanian Tiger 2: Bush Rescue,X,Electronic Arts,E,2004,29,69,0.02,0.11,0,$0 Million,0.08,0,4,8.8
Misc,Hole in the Wall: Deluxe Edition,X360,Ubisoft,E,2011,,,0,0.11,0,$0 Million,0.1,0.01,,
Misc,Defender,GC,Midway Games,T,2002,14,66,0.02,0.11,0,$0 Million,0.08,0,,
Action,Mushroom Men: Rise of the Fungi,DS,SouthPeak Games,E,2008,16,45,0,0.11,0,$0 Million,0.1,0.01,4,7.3
Adventure,The Polar Express,GC,THQ,E,2004,7,40,0.02,0.11,0,$0 Million,0.08,0,9,4.7
Sports,BMX XXX,X,Acclaim Entertainment,M,2002,26,58,0.02,0.11,0,$0 Million,0.08,0,9,7.8
Adventure,Touch Detective 2 1/2,DS,505 Games,E,2007,13,67,0,0.11,0.01,$0 Million,0.09,0.01,,
Racing,ATV: Quad Frenzy,DS,Majesco Entertainment,E,2005,5,35,0,0.11,0,$0 Million,0.1,0.01,,
Platform,Frogger: Helmet Chaos,PSP,Konami Digital Entertainment,E,2005,18,66,0,0.11,0,$0 Million,0.1,0.01,5,6.4
Simulation,Animal Planet: Vet Life,DS,Activision,E,2009,,,0,0.11,0,$0 Million,0.1,0.01,,
Racing,MXGP 2,PS4,Milestone S.r.l.,,2016,,,0.05,0.11,0,$0 Million,0.04,0.02,,
Racing,Pimp My Ride,X360,Activision,T,2006,14,38,0,0.11,0,$0 Million,0.1,0.01,29,3.8
Platform,Lady Sia,GBA,TDK Mediactive,E,2001,8,73,0.03,0.11,0,$0 Million,0.08,0,,
Misc,Rock Band: Metal Track Pack,PS2,MTV Games,T,2009,,,0.04,0.11,0,$0 Million,0.05,0.01,,
Sports,PDC World Championship Darts: Pro Tour,Wii,O-Games,,2010,,,0.09,0.11,0,$0 Million,0,0.01,,
Misc,Just In Time Translations,DS,THQ,E,2009,,,0,0.11,0,$0 Million,0.1,0.01,,
Sports,Vacation Sports,Wii,Ubisoft,E,2009,,,0.01,0.11,0,$0 Million,0.09,0.01,,
Shooter,Robotech: Invasion,PS2,Global Star,T,2004,33,57,0.04,0.11,0,$0 Million,0.05,0.01,,
Misc,Hollywood Squares,Wii,Ubisoft,E10+,2010,,,0,0.11,0,$0 Million,0.1,0.01,,
Misc,Dr. Seuss The Cat in the Hat,X,Vivendi Games,E,2003,6,56,0.02,0.11,0,$0 Million,0.08,0,,
Adventure,Irozuki Tingle no Koi no Balloon Trip,DS,Nintendo,,2009,,,0,0.11,0.11,$0 Million,0,0,,
Puzzle,Silly Bandz: Play The Craze,DS,Deep Silver,,2010,,,0,0.11,0,$0 Million,0.1,0.01,,
Racing,Starsky & Hutch,GC,BAM! Entertainment,,2003,,,0.02,0.11,0,$0 Million,0.08,0,,
Role-Playing,Final Fantasy I & II,NES,Square,,1994,,,0,0.11,0.11,$0 Million,0,0,,
Strategy,Langrisser IV,SAT,NCS,,1997,,,0,0.11,0.11,$0 Million,0,0,,
Action,Hellboy: The Science of Evil,X360,Konami Digital Entertainment,T,2008,31,44,0,0.11,0,$0 Million,0.1,0.01,9,5.7
Racing,ATV Quad Kings,DS,Storm City Games,E,2010,4,47,0,0.11,0,$0 Million,0.1,0.01,,
Racing,FoxKids.com Micro Maniacs Racing,PS,Codemasters,,2000,,,0.04,0.11,0,$0 Million,0.06,0.01,,
Action,Assassins Creed Chronicles,PSV,Ubisoft,T,2016,6,70,0.06,0.11,0.02,$0 Million,0.01,0.02,25,8.1
Shooter,Hexen: Beyond Heretic,PS,GT Interactive,,1997,,,0.04,0.11,0,$0 Million,0.06,0.01,,
Shooter,Doom 3,PC,Activision,M,2004,83,87,0.04,0.11,0,$0 Million,0.05,0.01,905,7.6
Action,Song of the Deep,PS4,Insomniac Games,E,2016,41,69,0,0.11,0,$0 Million,0.09,0.02,33,7.1
Platform,Sonic Generations,PC,Sega,E,2011,11,77,0.07,0.11,0,$0 Million,0.02,0.02,337,8.3
Misc,Arcade Party Pak,PS,Midway Games,,1999,,,0.04,0.11,0,$0 Million,0.06,0.01,,
Puzzle,Kotoba no Puzzle: Mojipittan Daijiten,PSP,Namco Bandai Games,,2004,,,0,0.11,0.11,$0 Million,0,0,,
Shooter,Deus Ex: Human Revolution,WiiU,Square Enix,,2013,,,0.05,0.11,0,$0 Million,0.05,0.01,,
Racing,Yamaha Supercross,DS,Zoo Digital Publishing,E,2009,,,0,0.11,0,$0 Million,0.1,0.01,,
Action,Hitman Trilogy,PS2,Eidos Interactive,M,2007,,,0.04,0.11,0,$0 Million,0.05,0.01,,
Misc,Dragon Quest & Final Fantasy in Itadaki Street Portable,PSP,Square Enix,,2006,,,0,0.11,0.11,$0 Million,0,0,,
Action,Astro Boy: The Video Game,Wii,D3Publisher,E10+,2009,17,48,0,0.11,0,$0 Million,0.1,0.01,4,3.5
Strategy,Railroad Tycoon II,PS,PopTop Software,,1999,,,0.04,0.11,0,$0 Million,0.06,0.01,,
Misc,The Cheetah Girls: Pop Star Sensations,DS,Disney Interactive Studios,E,2007,,,0,0.11,0,$0 Million,0.1,0.01,,
Fighting,Dragon Ball Z: Battle of Z,PSV,Namco Bandai Games,T,2014,7,66,0.04,0.11,0.06,$0 Million,0,0.01,54,7.5
